      Number		Rad(m)       Dens(kg/m^3)       Lambda(Pa)    Mu(Pa)
	1		1221500		12980.1		1.2848e+12    1.6953e+11	
	2		1300000		12145.8		1.2888e+12    0.0
	3		1400000		12097.4		1.2679e+12    0.0
	4		1500000		12039.9		1.2464e+12    0.0
	5		1600000		11978.7		1.2242e+12    0.0
	6		1700000		11913.7		1.2013e+12    0.0
	7		1800000		11844.8		1.1775e+12    0.0
	8		1900000		11771.9		1.1529e+12    0.0
	9		2000000		11694.7		1.1273e+12    0.0
	10		2100000		11613.4		1.1009e+12    0.0
	11		2200000		11527.5		1.0735e+12    0.0
	12		2300000		11437.2		1.0451e+12    0.0
	13		2400000		11342.1		1.0158e+12    0.0
	14		2500000		11242.2		0.9855e+12    0.0
	15		2600000		11137.4		0.9542e+12    0.0
	16		2700000		11027.6		0.9220e+12    0.0
	17		2800000		10912.5		0.8889e+12    0.0
	18		2900000		10792.1		0.8550e+12    0.0
	19		3000000		10666.3		0.8202e+12    0.0
	20		3100000		10534.9		0.7846e+12    0.0
	21		3200000		10397.8		0.7484e+12    0.0
	22		3300000		10254.8		0.7116e+12    0.0
	23		3400000		10105.9		0.6743e+12    0.0
	24		3480000		 9966.76	0.6441e+12    0.0
