           Number       Rad(m)       Dens(kg/m^3)       Mu(Pa)            Lambda(Pa)
              1        3480000          10932       0.000000e+00       9.422500e+11
              2        3500000           5561       2.933000e+11       4.581667e+11
              3        3550000           5544       2.907000e+11       4.502000e+11
              4        3600000           5519       2.907000e+11       4.502000e+11
              5        3630000           5499       2.899000e+11       4.479333e+11
              6        3700000           5474       2.855000e+11       4.375667e+11
              7        3750000           5444       2.794000e+11       4.232333e+11
              8        3800000           5419       2.794000e+11       4.232333e+11
              9        3850000           5394       2.734000e+11       4.094333e+11
             10        3900000           5370       2.734000e+11       4.094333e+11
             11        3950000           5345       2.675000e+11       3.960667e+11
             12        4000000           5320       2.675000e+11       3.960667e+11
             13        4050000           5295       2.617000e+11       3.830333e+11
             14        4100000           5270       2.617000e+11       3.830333e+11
             15        4150000           5245       2.559000e+11       3.703000e+11
             16        4250000           5195       2.502000e+11       3.578000e+11
             17        4300000           5169       2.502000e+11       3.578000e+11
             18        4350000           5144       2.445000e+11       3.455000e+11
             19        4400000           5119       2.445000e+11       3.455000e+11
             20        4450000           5093       2.388000e+11       3.333000e+11
             21        4500000           5068       2.388000e+11       3.333000e+11
             22        4550000           5042       2.331000e+11       3.212000e+11
             23        4600000           5022       2.331000e+11       3.212000e+11
             24        4650000           4990       2.273000e+11       3.091667e+11
             25        4700000           4964       2.273000e+11       3.091667e+11
             26        4800000           4924       2.215000e+11       2.971333e+11
             27        4900000           4871       2.157000e+11       2.850000e+11
             28        5000000           4817       2.098000e+11       2.729333e+11
             29        5100000           4762       2.039000e+11       2.606667e+11
             30        5200000           4707       1.979000e+11       2.483667e+11
             31        5300000           4650       1.918000e+11       2.359333e+11
             32        5400000           4592       1.856000e+11       2.233667e+11
             33        5500000           4534       1.794000e+11       2.107000e+11
             34        5600000           4474       1.730000e+11       1.979667e+11
             35        5650000           4428       1.639000e+11       1.974333e+11
             36        5701000           4397       1.548000e+11       1.967000e+11
             37        5736000           3988       1.224000e+11       1.707000e+11
             38        5771000           3980       1.210000e+11       1.682333e+11
             39        5821000           3944       1.128000e+11       1.580000e+11
             40        5871000           3881       1.051000e+11       1.480333e+11
             41        5921000           3818       9.770000e+10       1.385667e+11
             42        5971000           3755       9.060000e+10       1.295000e+11
             43        6016000           3530       7.900000e+10       1.155333e+11
             44        6061000           3503       7.730000e+10       1.114667e+11
             45        6106000           3476       7.570000e+10       1.074333e+11
             46        6151000           3449       7.410000e+10       1.035000e+11
             47        6186000           3356       6.600000e+10       8.380000e+10
             48        6221000           3365       6.650000e+10       8.436667e+10
             49        6256000           3369       6.690000e+10       8.490000e+10
             50        6291000           3372       6.740000e+10       8.536667e+10
             51        6311000           3376       6.770000e+10       8.556667e+10
             52        6331000           3378       6.800000e+10       8.576667e+10
             53        6346600           3380       6.820000e+10       8.603333e+10
             54        6356000           2900       4.410000e+10       4.590000e+10
             55        6369000           2600       2.660000e+10       3.430000e+10
             56        6371000           2600       2.660000e+10       3.426667e+10
