    n                h'                l'                k'
          0 -0.2160000000E+00  0.0000000000E+00  0.0000000000E+00
          1 -0.1287113417E+01 -0.8954959820E+00 -0.1000000000E+01
          2 -0.9945870427E+00  0.2411249876E-01 -0.3057703326E+00
          3 -0.1054653470E+01  0.7085479365E-01 -0.1962723430E+00
          4 -0.1057783425E+01  0.5958733895E-01 -0.1337905121E+00
          5 -0.1091185865E+01  0.4702631307E-01 -0.1047617639E+00
          6 -0.1149254352E+01  0.3940806542E-01 -0.9034967535E-01
          7 -0.1218362909E+01  0.3499403939E-01 -0.8205732013E-01
          8 -0.1290474291E+01  0.3225125935E-01 -0.7652356373E-01
          9 -0.1361848057E+01  0.3038563193E-01 -0.7239289491E-01
         10 -0.1430981763E+01  0.2902259001E-01 -0.6907768469E-01
         11 -0.1497377457E+01  0.2798156013E-01 -0.6629382112E-01
         12 -0.1560934855E+01  0.2716367078E-01 -0.6388475057E-01
         13 -0.1621715593E+01  0.2650554045E-01 -0.6175536122E-01
         14 -0.1679770379E+01  0.2596800569E-01 -0.5983856019E-01
         15 -0.1735198310E+01  0.2551661917E-01 -0.5808965155E-01
         16 -0.1788088249E+01  0.2512667371E-01 -0.5647488823E-01
         17 -0.1838448069E+01  0.2478452380E-01 -0.5496610314E-01
         18 -0.1886440474E+01  0.2447083426E-01 -0.5354901315E-01
         19 -0.1932084480E+01  0.2417919471E-01 -0.5220607051E-01
         20 -0.1975465902E+01  0.2389862142E-01 -0.5092726303E-01
         21 -0.2016677975E+01  0.2362510597E-01 -0.4970406011E-01
         22 -0.2055800328E+01  0.2335504488E-01 -0.4853059813E-01
         23 -0.2092911079E+01  0.2308664225E-01 -0.4740132374E-01
         24 -0.2128152865E+01  0.2281672671E-01 -0.4631386954E-01
         25 -0.2161524726E+01  0.2254486326E-01 -0.4526257393E-01
         26 -0.2193197725E+01  0.2227090304E-01 -0.4424709694E-01
         27 -0.2223233858E+01  0.2199506362E-01 -0.4326515094E-01
         28 -0.2251723710E+01  0.2171768906E-01 -0.4231416668E-01
         29 -0.2278768719E+01  0.2143842834E-01 -0.4139397501E-01
         30 -0.2304458134E+01  0.2115780855E-01 -0.4050331923E-01
         31 -0.2328863860E+01  0.2087703988E-01 -0.3964052812E-01
         32 -0.2352075825E+01  0.2059646974E-01 -0.3880510746E-01
         33 -0.2374165068E+01  0.2031655277E-01 -0.3799599381E-01
         34 -0.2395210187E+01  0.2003742405E-01 -0.3721238754E-01
         35 -0.2415240628E+01  0.1976097452E-01 -0.3645245192E-01
         36 -0.2434373235E+01  0.1948657808E-01 -0.3571687255E-01
         37 -0.2452661588E+01  0.1921474778E-01 -0.3500454563E-01
         38 -0.2470138749E+01  0.1894586598E-01 -0.3431422677E-01
         39 -0.2486868109E+01  0.1868046254E-01 -0.3364526050E-01
         40 -0.2502887480E+01  0.1841881710E-01 -0.3299702283E-01
         41 -0.2518286621E+01  0.1816080533E-01 -0.3236934909E-01
         42 -0.2533067076E+01  0.1790680733E-01 -0.3176084492E-01
         43 -0.2547293305E+01  0.1765639719E-01 -0.3117147502E-01
         44 -0.2560947326E+01  0.1741163957E-01 -0.3059953091E-01
         45 -0.2574129945E+01  0.1716909588E-01 -0.3004505482E-01
         46 -0.2586883547E+01  0.1693192119E-01 -0.2950810938E-01
         47 -0.2599184804E+01  0.1669911498E-01 -0.2898717545E-01
         48 -0.2611078571E+01  0.1647074835E-01 -0.2848178122E-01
         49 -0.2622557371E+01  0.1624683135E-01 -0.2799082378E-01
         50 -0.2633748552E+01  0.1602642623E-01 -0.2751535693E-01
         51 -0.2644570657E+01  0.1581166471E-01 -0.2705353552E-01
         52 -0.2655084375E+01  0.1560113910E-01 -0.2660516486E-01
         53 -0.2665300638E+01  0.1539499186E-01 -0.2616968989E-01
         54 -0.2675257227E+01  0.1519398761E-01 -0.2574703406E-01
